sno;id;name;category;image;model_number;brand;color_family;link;newprice;oldprice
69;NI023EL18PCF;Nillkin Back Cover for Nokia Lumia 620 (N620-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/18/3861/1-product.jpg;N620-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-nokia-lumia-620-n620-nl-ss-b-black-168381.html;50;50
70;NI023EL22PCB;Nillkin Back Cover for LG G3 Beat / G3 Mini (LG3B-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/77/3861/1-product.jpg;LG3B-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-lg-g3-beat-g3-mini-lg3b-nl-ss-b-black-168377.html;50;50
71;NI023EL19PCE;Nillkin Back Cover for Nokia Lumia 520 (N520-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/08/3861/1-product.jpg;N520-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-nokia-lumia-520-n520-nl-ss-b-black-168380.html;50;50
72;NI023EL20PCD;Nillkin Back Cover for Nokia Lumia 1520 (N1520-NL-SS-W, White);Mobile Cases & Covers;https://f.wadicdn.com/product/97/3861/1-product.jpg;N1520-NL-SS-W;Nillkin;white;https://en-ae.wadi.com/back-cover-for-nokia-lumia-1520-n1520-nl-ss-w-white-168379.html;50;50
73;NI023EL21PCC;Nillkin Back Cover for Nokia Lumia 1520 (N1520-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/87/3861/1-product.jpg;N1520-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-nokia-lumia-1520-n1520-nl-ss-b-black-168378.html;50;50
74;NI023EL24PBZ;Nillkin Back Cover for LG G2 (LG2-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/57/3861/1-product.jpg;LG2-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-lg-g2-lg2-nl-ss-b-black-168375.html;50;50
75;NI023EL25PBY;Nillkin Flip Case for LG G2 (LG2-NL-LT-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/47/3861/1-product.jpg;LG2-NL-LT-B;Nillkin;black;https://en-ae.wadi.com/flip-case-for-lg-g2-lg2-nl-lt-b-black-168374.html;60;60
76;NI023EL23PCA;Nillkin Back Cover for LG G3 (LG3-NL-SS-GO, Gold);Mobile Cases & Covers;https://f.wadicdn.com/product/67/3861/1-product.jpg;LG3-NL-SS-GO;Nillkin;gold;https://en-ae.wadi.com/back-cover-for-lg-g3-lg3-nl-ss-go-gold-168376.html;50;50
77;NI023EL26PBX;Nillkin Back Cover for Lenovo Zuk Z1 (LEN-ZUK-NL-SS-GO, Gold);Mobile Cases & Covers;https://f.wadicdn.com/product/37/3861/1-product.jpg;LEN-ZUK-NL-SS-GO;Nillkin;gold;https://en-ae.wadi.com/back-cover-for-lenovo-zuk-z1-len-zuk-nl-ss-go-gold-168373.html;50;50
78;NI023EL27PBW;Nillkin Back Cover for Lenovo Zuk Z1 (LEN-ZUK-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/27/3861/1-product.jpg;LEN-ZUK-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-lenovo-zuk-z1-len-zuk-nl-ss-b-black-168372.html;50;50
79;NI023EL29PBU;Nillkin Flip Case for Lenovo Vibe Shot Z90 (LEN-Z90-NL-LT-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/07/3861/1-product.jpg;LEN-Z90-NL-LT-B;Nillkin;black;https://en-ae.wadi.com/flip-case-for-lenovo-vibe-shot-z90-len-z90-nl-lt-b-black-168370.html;60;60
80;NI023EL30PBT;Nillkin Back Cover for Lenovo Vibe X2 (LEN-VX2-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/96/3861/1-product.jpg;LEN-VX2-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-lenovo-vibe-x2-len-vx2-nl-ss-b-black-168369.html;50;50
81;NI023EL31PBS;Nillkin Flip Case for Lenovo Vibe X2 (LEN-VX2-NL-LT-02-BL, Blue);Mobile Cases & Covers;https://f.wadicdn.com/product/86/3861/1-product.jpg;LEN-VX2-NL-LT-02-BL;Nillkin;blue;https://en-ae.wadi.com/flip-case-for-lenovo-vibe-x2-len-vx2-nl-lt-02-bl-blue-168368.html;60;60
82;NI023EL28PBV;Nillkin Back Cover for Lenovo Vibe Shot Z90 (LEN-Z90-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/17/3861/1-product.jpg;LEN-Z90-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-lenovo-vibe-shot-z90-len-z90-nl-ss-b-black-168371.html;50;50
